album_id,name,release_date,total_tracks,url
7I0tjwFtxUwBC1vgyeMAax,Flowers,2023-01-13,1,https://open.spotify.com/album/7I0tjwFtxUwBC1vgyeMAax
1nrVofqDRs7cpWXJ49qTnP,SOS,2022-12-08,23,https://open.spotify.com/album/1nrVofqDRs7cpWXJ49qTnP
1gi2iwr1l8IUyHYHxi01pg,"Shakira: Bzrp Music Sessions, Vol. 53",2023-01-11,1,https://open.spotify.com/album/1gi2iwr1l8IUyHYHxi01pg
6cVfHBcp3AdpYY0bBglkLN,Boy's a liar Pt. 2,2023-02-03,2,https://open.spotify.com/album/6cVfHBcp3AdpYY0bBglkLN
5r36AJ6VOJtp00oxSkBZ5h,Harry's House,2022-05-20,13,https://open.spotify.com/album/5r36AJ6VOJtp00oxSkBZ5h
3Uq1jNGnD412ZvCb6j2DKV,Gloria,2023-01-27,13,https://open.spotify.com/album/3Uq1jNGnD412ZvCb6j2DKV
7txGsnDSqVMoRl6RQ9XyZP,HEROES & VILLAINS,2022-12-02,15,https://open.spotify.com/album/7txGsnDSqVMoRl6RQ9XyZP
5xefnzEqKIWnmTWYFzekGZ,Resistencia,2023-01-13,17,https://open.spotify.com/album/5xefnzEqKIWnmTWYFzekGZ
1TpGeAzOJgAGdPkcWl95r2,La Bachata,2022-05-26,1,https://open.spotify.com/album/1TpGeAzOJgAGdPkcWl95r2
7M842DMhYVALrXsw3ty7B3,I'm Good (Blue),2022-08-26,2,https://open.spotify.com/album/7M842DMhYVALrXsw3ty7B3
3U8n8LzBx2o9gYXvvNq4uH,My 21st Century Blues,2023-02-03,15,https://open.spotify.com/album/3U8n8LzBx2o9gYXvvNq4uH
2b2GHWESCWEuHiCZ2Skedp,Calm Down (with Selena Gomez),2022-08-25,1,https://open.spotify.com/album/2b2GHWESCWEuHiCZ2Skedp
151w1FgRZfnKZA9FEcg9Z3,Midnights,2022-10-21,13,https://open.spotify.com/album/151w1FgRZfnKZA9FEcg9Z3
45ozep8uHHnj5CCittuyXj,NewJeans 'OMG',2023-01-02,2,https://open.spotify.com/album/45ozep8uHHnj5CCittuyXj
0OuoHWf8yB0TPzoBWw1R1S,Here With Me,2022-09-22,1,https://open.spotify.com/album/0OuoHWf8yB0TPzoBWw1R1S
4AdZV63ycxFLF6Hcol0QnB,Starboy,2016-11-24,18,https://open.spotify.com/album/4AdZV63ycxFLF6Hcol0QnB
2AvuFDqTlnxvYhyVaLU6NY,Sr. Santos,2022-12-01,18,https://open.spotify.com/album/2AvuFDqTlnxvYhyVaLU6NY
1kjfMVBNhsDeRyAu9zbLfF,OzuTochi,2022-10-07,18,https://open.spotify.com/album/1kjfMVBNhsDeRyAu9zbLfF
69AaAkdktFGnk9POmHENkT,this is what ____ feels like (Vol. 1-4),2022-09-23,12,https://open.spotify.com/album/69AaAkdktFGnk9POmHENkT
33inEak0hNKMDePhjGxE61,OneRepublic (Japan Paradise Tour Edition),2023-02-15,18,https://open.spotify.com/album/33inEak0hNKMDePhjGxE61
4PNqWiJAfjj32hVvlchV5u,"Quevedo: Bzrp Music Sessions, Vol. 52",2022-07-06,1,https://open.spotify.com/album/4PNqWiJAfjj32hVvlchV5u
493HYe7N5pleudEZRyhE7R,All I Want Is You,2010-11-26,13,https://open.spotify.com/album/493HYe7N5pleudEZRyhE7R
0KGBW1MQtC2aFPCDUdAkdJ,Long Way Down,2013-06-17,10,https://open.spotify.com/album/0KGBW1MQtC2aFPCDUdAkdJ
2OXBosbXT7Qs3J6vBd6IkI,PRC,2023-01-23,1,https://open.spotify.com/album/2OXBosbXT7Qs3J6vBd6IkI
7bnqo1fdJU9nSfXQd3bSMe,Ditto,2022-12-19,1,https://open.spotify.com/album/7bnqo1fdJU9nSfXQd3bSMe
6dj4bRg0LCMm7B2P5Xenq5,Zona De Perigo,2022-12-08,1,https://open.spotify.com/album/6dj4bRg0LCMm7B2P5Xenq5
0s2sLResjP92wRavoj9k0O,AMG,2022-11-24,1,https://open.spotify.com/album/0s2sLResjP92wRavoj9k0O
4cAAsw7mPkGt15GXQzWlrM,Players,2022-11-30,1,https://open.spotify.com/album/4cAAsw7mPkGt15GXQzWlrM
7ARtQpvnPN2ucbmVHngLOs,Until I Found You (Em Beihold Version),2022-04-22,1,https://open.spotify.com/album/7ARtQpvnPN2ucbmVHngLOs
2FD6g8bXEn2uQMYbeqqoCg,Just Wanna Rock,2022-10-17,1,https://open.spotify.com/album/2FD6g8bXEn2uQMYbeqqoCg
78bpIziExqiI9qztvNFlQu,AM,2013-09-09,12,https://open.spotify.com/album/78bpIziExqiI9qztvNFlQu
07w0rG5TETcyihsEIZR3qG,SOS,2022-12-09,23,https://open.spotify.com/album/07w0rG5TETcyihsEIZR3qG
7bN4OM5mtWq0UrAxdN6qMC,Lost,2023-02-10,1,https://open.spotify.com/album/7bN4OM5mtWq0UrAxdN6qMC
4LVa9bljQRvLYpWr8qyaXs,Takin' It Back,2022-10-21,16,https://open.spotify.com/album/4LVa9bljQRvLYpWr8qyaXs
1kTlYbs28MXw7hwO0NLYif,Encore (Deluxe Version),2004-11-12,23,https://open.spotify.com/album/1kTlYbs28MXw7hwO0NLYif
5MS3MvWHJ3lOZPLiMxzOU6,Her Loss,2022-11-04,16,https://open.spotify.com/album/5MS3MvWHJ3lOZPLiMxzOU6
7pijRxgRaBirPz6wDaJIp9,FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,2022-09-14,15,https://open.spotify.com/album/7pijRxgRaBirPz6wDaJIp9
6yiXkzHvC0OTmhfDQOEWtS,Mercury - Acts 1 & 2,2022-07-01,32,https://open.spotify.com/album/6yiXkzHvC0OTmhfDQOEWtS
7fOmdhRrRohTzToL617xkk,3 Songs At A Time Sampler,2023-01-31,3,https://open.spotify.com/album/7fOmdhRrRohTzToL617xkk
2ODvWsOgouMbaA5xf0RkJe,Starboy,2016-11-25,18,https://open.spotify.com/album/2ODvWsOgouMbaA5xf0RkJe
7JH7pr10sJV9caUhk3ORyK,Sigan Hablando,2022-12-28,13,https://open.spotify.com/album/7JH7pr10sJV9caUhk3ORyK
3RQQmkQEvNCY4prGKE6oc5,Un Verano Sin Ti,2022-05-06,23,https://open.spotify.com/album/3RQQmkQEvNCY4prGKE6oc5
1skkjCQGfaGg0wpVw6cq5w,X SI VOLVEMOS,2023-02-03,1,https://open.spotify.com/album/1skkjCQGfaGg0wpVw6cq5w
6FJxoadUE4JNVwWHghBwnb,RENAISSANCE,2022-07-29,16,https://open.spotify.com/album/6FJxoadUE4JNVwWHghBwnb
